41.cubes109.adj, verified, 0 solutions, 57.632  seconds 
41.cubes1090.adj, verified, 0 solutions, 283.432  seconds 
41.cubes1091.adj, verified, 0 solutions, 467.069  seconds 
41.cubes1092.adj, verified, 0 solutions, 718.601  seconds 
41.cubes1093.adj, verified, 0 solutions, 416.345  seconds 
41.cubes1094.adj, verified, 0 solutions, 2.56593  seconds 
41.cubes1095.adj, verified, 0 solutions, 889.781  seconds 
41.cubes1096.adj, verified, 0 solutions, 455.03  seconds 
41.cubes1097.adj, verified, 0 solutions, 836.017  seconds 
41.cubes1098.adj, verified, 0 solutions, 37.3035  seconds 
41.cubes1099.adj, verified, 0 solutions, 136.064  seconds 
41.cubes11.adj, verified, 0 solutions, 39.543  seconds 
41.cubes110.adj, verified, 0 solutions, 54.4202  seconds 
41.cubes1100.adj, verified, 0 solutions, 119.477  seconds 
41.cubes1101.adj, verified, 0 solutions, 323.181  seconds 
41.cubes1102.adj, verified, 0 solutions, 467.378  seconds 
41.cubes1103.adj, verified, 0 solutions, 249.325  seconds 
41.cubes1104.adj, verified, 0 solutions, 215.598  seconds 
41.cubes1105.adj, verified, 0 solutions, 144.643  seconds 
41.cubes1106.adj, verified, 0 solutions, 405.848  seconds 
41.cubes1107.adj, verified, 0 solutions, 263.9  seconds 
41.cubes1108.adj, verified, 0 solutions, 629.464  seconds 
41.cubes1109.adj, verified, 0 solutions, 230.971  seconds 
41.cubes111.adj, verified, 0 solutions, 43.702  seconds 
41.cubes1110.adj, verified, 0 solutions, 280.812  seconds 
41.cubes1111.adj, verified, 0 solutions, 51.7806  seconds 
41.cubes1112.adj, verified, 0 solutions, 240.539  seconds 
41.cubes1113.adj, verified, 0 solutions, 451.554  seconds 
41.cubes1114.adj, verified, 0 solutions, 503.155  seconds 
41.cubes1115.adj, verified, 0 solutions, 214.037  seconds 
41.cubes1116.adj, verified, 0 solutions, 292.047  seconds 
41.cubes1117.adj, verified, 0 solutions, 158.54  seconds 
41.cubes1118.adj, verified, 0 solutions, 544.54  seconds 
41.cubes1119.adj, verified, 0 solutions, 145.075  seconds 
41.cubes112.adj, verified, 0 solutions, 97.5937  seconds 
41.cubes1120.adj, verified, 0 solutions, 435.223  seconds 
41.cubes1121.adj, verified, 0 solutions, 454.929  seconds 
41.cubes1122.adj, verified, 0 solutions, 162.08  seconds 
41.cubes1123.adj, verified, 0 solutions, 37.004  seconds 
41.cubes1124.adj, verified, 0 solutions, 350.224  seconds 
41.cubes1125.adj, verified, 0 solutions, 429.898  seconds 
41.cubes1126.adj, verified, 0 solutions, 425.321  seconds 
41.cubes1127.adj, verified, 0 solutions, 512.326  seconds 
41.cubes1128.adj, verified, 0 solutions, 291.204  seconds 
41.cubes1129.adj, verified, 0 solutions, 28.5953  seconds 
41.cubes113.adj, verified, 0 solutions, 37.3889  seconds 
41.cubes1130.adj, verified, 0 solutions, 233.182  seconds 
41.cubes1131.adj, verified, 0 solutions, 266.965  seconds 
41.cubes1132.adj, verified, 0 solutions, 342.225  seconds 
41.cubes1133.adj, verified, 0 solutions, 108.449  seconds 
41.cubes1134.adj, verified, 0 solutions, 533.272  seconds 
41.cubes1135.adj, verified, 0 solutions, 358.479  seconds 
41.cubes1136.adj, verified, 0 solutions, 379.392  seconds 
41.cubes1137.adj, verified, 0 solutions, 164.243  seconds 
41.cubes1138.adj, verified, 0 solutions, 321.336  seconds 
41.cubes1139.adj, verified, 0 solutions, 248.833  seconds 
41.cubes114.adj, verified, 0 solutions, 43.4003  seconds 
41.cubes1140.adj, verified, 0 solutions, 207.228  seconds 
41.cubes1141.adj, verified, 0 solutions, 280.97  seconds 
41.cubes1142.adj, verified, 0 solutions, 397.592  seconds 
41.cubes1143.adj, verified, 0 solutions, 421.449  seconds 
41.cubes1144.adj, verified, 0 solutions, 336.79  seconds 
41.cubes1145.adj, verified, 0 solutions, 310.848  seconds 
41.cubes1146.adj, verified, 0 solutions, 869.978  seconds 
41.cubes1147.adj, verified, 0 solutions, 1444.46  seconds 
41.cubes1148.adj, verified, 0 solutions, 305.587  seconds 
41.cubes1149.adj, verified, 0 solutions, 234.53  seconds 
41.cubes115.adj, verified, 0 solutions, 74.9311  seconds 
41.cubes1150.adj, verified, 0 solutions, 182.253  seconds 
41.cubes1151.adj, verified, 0 solutions, 673.772  seconds 
41.cubes1152.adj, verified, 0 solutions, 1.96507  seconds 
41.cubes1153.adj, verified, 0 solutions, 567.011  seconds 
41.cubes1154.adj, verified, 0 solutions, 26.7402  seconds 
41.cubes1155.adj, verified, 0 solutions, 976.225  seconds 
41.cubes1156.adj, verified, 0 solutions, 1039.38  seconds 
41.cubes1157.adj, verified, 0 solutions, 871.441  seconds 
41.cubes1158.adj, verified, 0 solutions, 1001.29  seconds 
41.cubes1159.adj, verified, 0 solutions, 471.939  seconds 
41.cubes116.adj, verified, 0 solutions, 16.9859  seconds 
41.cubes1160.adj, verified, 0 solutions, 224.031  seconds 
41.cubes1161.adj, verified, 0 solutions, 1008.38  seconds 
41.cubes1162.adj, verified, 0 solutions, 403.974  seconds 
41.cubes1163.adj, verified, 0 solutions, 539.202  seconds 
41.cubes1164.adj, verified, 0 solutions, 379.558  seconds 
41.cubes1165.adj, verified, 0 solutions, 13.5485  seconds 
41.cubes1166.adj, verified, 0 solutions, 223.606  seconds 
41.cubes1167.adj, verified, 0 solutions, 296.813  seconds 
41.cubes1168.adj, verified, 0 solutions, 30.495  seconds 
