============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          399680                                         |
|  Parse time:                   2.64 s                                       |
|  Simplification time:          0.04 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       100 |    4378   399680 39370827 |     2000      100     64 |        0 |        23         0 |
|       250 |    4378   399680 39370827 |     2000      250     68 |        0 |        27         0 |
|       475 |    4378   399680 39370827 |     2000      475     66 |        0 |        34         0 |
|       818 |    4378   399686 39370972 |     2000      818     77 |        0 |        54         6 |
|      1327 |    4378   399689 39371319 |     2000     1327     87 |        0 |        64         9 |
|      2113 |    4378   399716 39372057 |     3600     1113     42 |        0 |       100        36 |
|      3268 |    4378   399732 39372671 |     3600     2268     63 |        0 |       115        52 |
|      5301 |    4378   400057 39380088 |     5000     2501     44 |        0 |       259       377 |
|      7925 |    4378   400119 39382101 |     6301     2626     36 |        0 |       283       439 |
|     12238 |    4378   400588 39393039 |     7552     3790     37 |        0 |       639       908 |
|     18082 |    4378   400666 39394462 |     8792     5874     57 |        0 |       692       986 |
|     28134 |    4378   402069 39432558 |    11206     6540     52 |        0 |      1329      2389 |
|     41361 |    4378   402322 39438405 |    13608     7969     47 |        0 |      1474      2642 |
|     61146 |    4378   402646 39446111 |    16004    13550     71 |        0 |      1601      2966 |
|     90686 |    4378   402994 39454825 |    19611    17297     79 |        0 |      1798      3314 |
|    136272 |    4378   404791 39491503 |    24403    20075     73 |        0 |      2299      5111 |
|    202568 |    4378   405403 39507328 |    30417    19385     52 |        0 |      2708      5723 |
|    304398 |    4378   408707 39574522 |    37613    21011     44 |        0 |      3516      9027 |
|    454516 |    4378   411036 39626182 |    46025    26941     59 |        0 |      3914     11356 |
|    681933 |    4378   416770 39735056 |    55613    53546     84 |        0 |      4759     17090 |
|   1017223 |    4378   419535 39809433 |    68823    50046     77 |        0 |      5975     19855 |
|   1517987 |    4378   421511 39864337 |    84412    56799     78 |        0 |      6846     21831 |
|   2276672 |    4378   432014 40069145 |   103620    68292     68 |        0 |      8980     32334 |
|   3404034 |    4378   437102 40227706 |   126430   108864     89 |        0 |     12525     37422 |
|   5127104 |    4378   476761 40962064 |   155223   149527     77 |        0 |     20338     77081 |
|   7665209 |    4378   489750 41355865 |   191218    98627     41 |        0 |     28423     90070 |
|  11497921 |    4378   534787 42688307 |   233218   228339     77 |        0 |     39629    135107 |
|  17228791 |    4378   584145 43973428 |   286028   261219     77 |        0 |     54965    184465 |
|  25783087 |    4378   616172 44926834 |   350823   234910     61 |        2 |     67852    216490 |
|  38660704 |    4378   710386 47292874 |   430026   249130     45 |        2 |     98633    310704 |
|  58613275 |    4378  1487852 62999754 |   529633   314908     43 |        2 |    166327   1088170 |
