============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          816297                                         |
|  Parse time:                   5.38 s                                       |
|  Simplification time:          0.15 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       119 |    4380   816316 79696598 |     2000      119     49 |        0 |        33        19 |
|       297 |    4380   816344 79697376 |     2000      297     67 |        0 |        49        47 |
|       575 |    4380   816397 79698426 |     2000      575     46 |        0 |       108       100 |
|       919 |    4380   816404 79698827 |     2000      919     77 |        0 |       110       107 |
|      1533 |    4380   816512 79701208 |     2000     1533     85 |        0 |       138       215 |
|      2321 |    4380   816541 79701955 |     3607     1328     52 |        0 |       153       244 |
|      3490 |    4380   816571 79702860 |     3607     2497     80 |        0 |       202       274 |
|      5446 |    4380   816819 79708891 |     5005     2651     43 |        0 |       293       522 |
|      8069 |    4380   816880 79710707 |     6304     2773     33 |        0 |       362       583 |
|     13586 |    4380   818553 79757082 |     7551     5137     27 |        0 |       784      2256 |
|     20086 |    4380   819287 79773934 |     8782     7868     55 |        0 |      1016      2990 |
|     29721 |    4380   820273 79796901 |    11201     8122     55 |        0 |      1533      3976 |
|     43111 |    4380   820689 79807137 |    13605     9716     65 |        0 |      1661      4392 |
|     63124 |    4380   821241 79822378 |    16005    15529     79 |        0 |      2172      4944 |
|     93057 |    4380   821982 79840336 |    20808     9865     29 |        0 |      2423      5685 |
|    137867 |    4380   823003 79862743 |    24412    21679     80 |        0 |      2940      6706 |
|    203624 |    4380   823076 79864955 |    30412    20436     69 |        0 |      3109      6779 |
|    302766 |    4380   823692 79881126 |    37615    19381     57 |        0 |      3747      7395 |
|    451114 |    4380   824251 79900426 |    46017    23531     61 |        0 |      4089      7954 |
|    679420 |    4380   830874 80056610 |    55612    51032     92 |        0 |      5590     14577 |
|   1018291 |    4380   837220 80212315 |    68822    51113     85 |        0 |      7450     20923 |
|   1525828 |    4380   845969 80444576 |    84418    64646     78 |       10 |      9543     29662 |
|   2281682 |    4380   853641 80651728 |   103617    73299     76 |       10 |     12202     37334 |
|   3408275 |    4380   857960 80779562 |   126409   113084     88 |       10 |     14375     41653 |
|   5099300 |    4380   865574 81020281 |   155219   121719     71 |       10 |     17118     49267 |
|   7633424 |    4380   874582 81295288 |   190015   161839     73 |       10 |     22956     58275 |
|  11453164 |    4380   906647 82082628 |   233227   183591     73 |       10 |     30759     90340 |
|  17175060 |    4380   947031 83149292 |   286022   207482     69 |       10 |     44403    130724 |
|  26003744 |    4380  1253446 90838066 |   352036   280180     72 |       19 |     95069    437130 |
|  39166934 |    4380  1633233 99809235 |   432426   324760     67 |       35 |    157506    816901 |
|  58699455 |    4380  1990649 107888551 |   529642   401097     60 |       40 |    201779   1174312 |
|  88034597 |    4380  2563133 121914607 |   648433   610430     72 |       40 |    277147   1746796 |
| 132507852 |    4380  3892400 151623370 |   796024   705276     64 |       40 |    526560   3076063 |
| 198714910 |    4362  5105456 182286294 |   976032   507342     34 |       60 |    669841   4567119 |
slurmstepd: error: *** JOB 58172353 ON gra1191 CANCELLED AT 2022-03-10T00:14:59 DUE TO TIME LIMIT ***
