============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          712795                                         |
|  Parse time:                   4.57 s                                       |
|  Simplification time:          0.11 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       100 |    4379   712795 68910045 |     2000      100    114 |        0 |        17         0 |
|       251 |    4379   712796 68910193 |     2000      251    118 |        0 |        28         1 |
|       479 |    4379   712799 68910412 |     2000      479    117 |        0 |        43         4 |
|       819 |    4379   712802 68910476 |     2000      819    108 |        0 |        61         7 |
|      1348 |    4379   712825 68911488 |     2000     1348    104 |        0 |        99        30 |
|      2181 |    4379   712899 68913998 |     3600     1181     48 |        0 |       149       104 |
|      3354 |    4379   712933 68914816 |     3600     2354     89 |        0 |       163       138 |
|      5082 |    4379   712953 68915342 |     5003     2285     68 |        0 |       177       158 |
|      7689 |    4379   712998 68916516 |     5003     4892     92 |        0 |       202       203 |
|     11595 |    4379   713060 68917973 |     6302     6297    103 |        0 |       229       265 |
|     17519 |    4379   713218 68921972 |     8780     5299     66 |        0 |       401       423 |
|     26359 |    4379   713409 68926931 |     9992     9751     88 |        0 |       493       614 |
|     39637 |    4379   713713 68933627 |    13608     6245     45 |        0 |       672       918 |
|     59848 |    4379   714463 68949198 |    16005    12253     74 |        0 |       867      1668 |
|     90985 |    4379   716408 68987852 |    19619    17604     70 |        0 |      1364      3613 |
|    137201 |    4379   718835 69029983 |    24417    21018     61 |        0 |      1806      6040 |
|    203158 |    4379   719108 69036649 |    30418    19976     57 |        0 |      1912      6313 |
|    303074 |    4379   720498 69066347 |    37613    19687     47 |        0 |      2209      7703 |
|    455376 |    4379   725011 69157242 |    46006    27782     62 |        0 |      4059     12216 |
|    685659 |    4379   733611 69311642 |    56808    29467     52 |        0 |      5344     20816 |
|   1019200 |    4379   734627 69342566 |    68805    52005     81 |        0 |      6133     21832 |
|   1520536 |    4379   737175 69407153 |    84424    59360     75 |        0 |      6812     24380 |
|   2304572 |    4379   773029 70243302 |   103627    96199     90 |        0 |     14215     60234 |
|   3431444 |    4379   777627 70389061 |   127614    73058     59 |        0 |     17887     64832 |
|   5162229 |    4379   825001 71291869 |   156416   107045     64 |        0 |     25007    112206 |
|   7725940 |    4379   863596 72192184 |   191227   159367     69 |        0 |     33903    150801 |
|  11627021 |    4379   977002 74454679 |   235615   123636     40 |        0 |     50369    264207 |
|  17381484 |    4379  1049953 76359121 |   287231   270915     69 |        0 |     71591    337158 |
|  25941411 |    4379  1087611 77394207 |   352035   217846     45 |        0 |     88620    374816 |
|  38885364 |    4379  1248161 80566997 |   431233   258797     41 |        2 |    115222    535364 |
|  58202367 |    4379  1390059 84124812 |   527233   431800     62 |        8 |    150724    677256 |
