============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          668754                                         |
|  Parse time:                   4.36 s                                       |
|  Simplification time:          0.12 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       106 |    4389   668760 67761523 |     2000      106    128 |        0 |        17         6 |
|       264 |    4389   668768 67761720 |     2000      264    131 |        0 |        26        14 |
|       496 |    4389   668775 67761961 |     2000      496    123 |        0 |        36        21 |
|       929 |    4389   668871 67764165 |     2000      929    112 |        0 |        61       117 |
|      1529 |    4389   668965 67766785 |     2000     1529    107 |        0 |        86       211 |
|      2391 |    4389   669068 67768391 |     3600     1391     58 |        0 |       151       314 |
|      3591 |    4389   669129 67769547 |     3600     2591     75 |        0 |       196       375 |
|      5448 |    4389   669278 67773375 |     5000     2648     51 |        0 |       319       524 |
|      8620 |    4389   669888 67785523 |     6306     3326     34 |        0 |       491      1134 |
|     12603 |    4389   670027 67788736 |     7557     4160     42 |        0 |       619      1273 |
|     18412 |    4389   670070 67790291 |     8783     6195     59 |        0 |       674      1316 |
|     28048 |    4389   671057 67809068 |    11208     6456     41 |        0 |       829      2303 |
|     41398 |    4389   671433 67818700 |    13610     8008     44 |        0 |      1131      2679 |
|     61117 |    4389   671691 67825465 |    16012    13529     61 |        0 |      1222      2937 |
|     90369 |    4389   671751 67827234 |    19605    16974     70 |        0 |      1261      2997 |
|    134636 |    4389   672229 67839935 |    24410    18446     75 |        0 |      1532      3475 |
|    200682 |    4389   672591 67849191 |    30408    17490     65 |        0 |      1861      3837 |
|    299718 |    4389   673101 67860234 |    36411    34529     95 |        0 |      2113      4347 |
|    448141 |    4389   673735 67875993 |    44810    42951     91 |        0 |      2457      4981 |
|    670462 |    4389   674373 67895914 |    55614    42076     81 |        0 |      2788      5619 |
|   1008590 |    4389   679976 68010974 |    68825    41415     59 |        0 |      4306     11222 |
|   1511718 |    4389   684316 68111873 |    84412    50530     61 |        0 |      5950     15562 |
|   2344859 |    4389   769275 70422252 |   104818    84677     75 |        0 |     14306    100521 |
|   3484335 |    4389   786477 70757162 |   127619   125954     79 |        0 |     20777    117723 |
|   5201740 |    4389   820471 71628588 |   156433   146573     80 |        0 |     27836    151717 |
|   7765384 |    4389   858999 72596237 |   192434   103218     36 |        0 |     37141    190245 |
|  11588038 |    4389   893978 73521346 |   234432   201870     72 |        0 |     49634    225224 |
|  17307207 |    4389   931635 74564024 |   287231   196638     59 |        0 |     64641    262881 |
|  25935910 |    4389  1038069 76877953 |   352053   212363     45 |        0 |     84716    369315 |
|  38810588 |    4389  1129344 79308254 |   430032   399020     74 |        0 |    117319    460590 |
