============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          478413                                         |
|  Parse time:                   2.89 s                                       |
|  Simplification time:          0.07 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       100 |    4402   478413 47647082 |     2000      100    148 |        0 |        19         0 |
|       265 |    4402   478428 47647909 |     2000      265    121 |        0 |        35        15 |
|       548 |    4402   478486 47648774 |     2000      548     98 |        0 |        73        73 |
|       931 |    4402   478532 47649784 |     2000      931    101 |        0 |       102       119 |
|      1461 |    4402   478556 47650671 |     2000     1461    116 |        0 |       112       143 |
|      2262 |    4402   478598 47651728 |     3601     1263     88 |        0 |       140       185 |
|      3519 |    4402   478716 47653978 |     3601     2520    108 |        0 |       185       303 |
|      5604 |    4402   479093 47662630 |     5000     2804     76 |        0 |       313       680 |
|      8405 |    4402   479332 47669388 |     6303     3108     61 |        0 |       384       919 |
|     12672 |    4402   479755 47677307 |     7553     4225     65 |        0 |       553      1342 |
|     19205 |    4402   480522 47689902 |     8777     6982     74 |        0 |       629      2109 |
|     28269 |    4402   480937 47698763 |    11200     6669     62 |        0 |       899      2524 |
|     41692 |    4402   481386 47709132 |    13604     8296     60 |        0 |      1136      2973 |
|     62056 |    4402   482289 47728734 |    16006    14462     85 |        0 |      1526      3876 |
|     92291 |    4402   483332 47752091 |    19611    18902     91 |        9 |      2126      4910 |
|    138621 |    4402   485873 47806456 |    24415    22436     82 |       12 |      2950      7448 |
|    206677 |    4402   488245 47857583 |    30422    23499     84 |       12 |      3776      9820 |
|    306382 |    4402   489424 47879273 |    37611    22993     70 |       12 |      4098     10999 |
|    456536 |    4402   491789 47925270 |    46009    28945     71 |       12 |      4703     13364 |
|    685488 |    4402   499058 48107187 |    56812    29300     63 |       12 |      6032     20633 |
|   1028559 |    4402   509604 48379935 |    68812    61371     95 |       12 |      8707     31179 |
|   1538710 |    4402   520967 48653645 |    84426    77536     86 |       14 |     11706     42540 |
|   2302970 |    4402   537045 49063799 |   103625    94595    103 |       76 |     16910     58556 |
|   3484596 |    4402   596397 50665817 |   127620   126216    100 |      108 |     28335    117876 |
|   5289365 |    4402   717755 53787907 |   157624   155989     98 |      150 |     48685    239192 |
|   7837033 |    4402   740307 54441951 |   192427   174860     92 |      150 |     58371    261744 |
|  11725811 |    4402   841410 57312538 |   235624   222435     93 |      150 |     77146    362847 |
|  18511613 |    4402  1945700 83105050 |   296824   235437     91 |      156 |    166976   1467131 |
|  27931426 |    4402  2843244 103213099 |   365221   238847     62 |      251 |    261348   2364580 |
