4305 cubes in 22-cubes/18.cubes
  Depth 19 instance 1 was not split at previous depth; skipping
  Depth 19 instance 2 was not split at previous depth; skipping
  Depth 19 instance 3 was determined to be UNSAT; skipping
  Depth 19 instance 4 was determined to be UNSAT; skipping
  Depth 19 instance 5 was determined to be UNSAT; skipping
  Depth 19 instance 6 was determined to be UNSAT; skipping
  Depth 19 instance 7 was not split at previous depth; skipping
  Depth 19 instance 8 was determined to be UNSAT; skipping
  Depth 19 instance 9 was not split at previous depth; skipping
  Depth 19 instance 10 was determined to be UNSAT; skipping
  Depth 19 instance 11 was not split at previous depth; skipping
  Depth 19 instance 12 was not split at previous depth; skipping
  Depth 19 instance 13 was not split at previous depth; skipping
  Depth 19 instance 14 was not split at previous depth; skipping
  Depth 19 instance 15 was not split at previous depth; skipping
  Depth 19 instance 16 was not split at previous depth; skipping
  Depth 19 instance 17 was not split at previous depth; skipping
  Depth 19 instance 18 was not split at previous depth; skipping
  Depth 19 instance 19 was not split at previous depth; skipping
  Depth 19 instance 20 was not split at previous depth; skipping
  Depth 19 instance 21 was not split at previous depth; skipping
  Depth 19 instance 22 was not split at previous depth; skipping
  Depth 19 instance 23 was not split at previous depth; skipping
  Depth 19 instance 24 was not split at previous depth; skipping
  Depth 19 instance 25 was not split at previous depth; skipping
  Depth 19 instance 26 was determined to be UNSAT; skipping
  Depth 19 instance 27 was not split at previous depth; skipping
  Depth 19 instance 28 was not split at previous depth; skipping
  Depth 19 instance 29 was not split at previous depth; skipping
  Depth 19 instance 30 was not split at previous depth; skipping
  Depth 19 instance 31 was determined to be UNSAT; skipping
  Depth 19 instance 32 was not split at previous depth; skipping
  Depth 19 instance 33 was not split at previous depth; skipping
  Depth 19 instance 34 was not split at previous depth; skipping
  Depth 19 instance 35 was not split at previous depth; skipping
  Depth 19 instance 36 was determined to be UNSAT; skipping
  Depth 19 instance 37 was determined to be UNSAT; skipping
  Depth 19 instance 38 was determined to be UNSAT; skipping
  Depth 19 instance 39 was determined to be UNSAT; skipping
  Depth 19 instance 40 was not split at previous depth; skipping
  Depth 19 instance 41 was determined to be UNSAT; skipping
  Depth 19 instance 42 was determined to be UNSAT; skipping
  Depth 19 instance 43 was determined to be UNSAT; skipping
  Depth 19 instance 44 was not split at previous depth; skipping
  Depth 19 instance 45 was determined to be UNSAT; skipping
  Depth 19 instance 46 was not split at previous depth; skipping
  Depth 19 instance 47 was determined to be UNSAT; skipping
  Depth 19 instance 48 was not split at previous depth; skipping
  Depth 19 instance 49 was not split at previous depth; skipping
  Depth 19 instance 50 was not split at previous depth; skipping
  Depth 19 instance 51 was not split at previous depth; skipping
  Depth 19 instance 52 was not split at previous depth; skipping
  Depth 19 instance 53 was not split at previous depth; skipping
  Depth 19 instance 54 was not split at previous depth; skipping
  Depth 19 instance 55 was not split at previous depth; skipping
  Depth 19 instance 56 was not split at previous depth; skipping
  Depth 19 instance 57 was not split at previous depth; skipping
  Depth 19 instance 58 was not split at previous depth; skipping
  Depth 19 instance 59 was not split at previous depth; skipping
  Depth 19 instance 60 was not split at previous depth; skipping
  Depth 19 instance 61 was not split at previous depth; skipping
  Depth 19 instance 62 was not split at previous depth; skipping
  Depth 19 instance 63 was not split at previous depth; skipping
  Depth 19 instance 64 was not split at previous depth; skipping
  Depth 19 instance 65 was not split at previous depth; skipping
  Depth 19 instance 66 was not split at previous depth; skipping
  Depth 19 instance 67 was not split at previous depth; skipping
  Depth 19 instance 68 was not split at previous depth; skipping
  Depth 19 instance 69 was not split at previous depth; skipping
  Depth 19 instance 70 was not split at previous depth; skipping
  Depth 19 instance 71 was not split at previous depth; skipping
  Depth 19 instance 72 was not split at previous depth; skipping
  Depth 19 instance 73 was not split at previous depth; skipping
  Depth 19 instance 74 was not split at previous depth; skipping
  Depth 19 instance 75 was not split at previous depth; skipping
  Depth 19 instance 76 was not split at previous depth; skipping
  Depth 19 instance 77 was not split at previous depth; skipping
  Depth 19 instance 78 was not split at previous depth; skipping
  Depth 19 instance 79 was not split at previous depth; skipping
  Depth 19 instance 80 was not split at previous depth; skipping
  Depth 19 instance 81 was determined to be UNSAT; skipping
  Depth 19 instance 82 was not split at previous depth; skipping
  Depth 19 instance 83 was not split at previous depth; skipping
  Depth 19 instance 84 was not split at previous depth; skipping
  Depth 19 instance 85 was not split at previous depth; skipping
  Depth 19 instance 86 was not split at previous depth; skipping
  Depth 19 instance 87 was not split at previous depth; skipping
  Depth 19 instance 88 was not split at previous depth; skipping
  Depth 19 instance 89 was not split at previous depth; skipping
  Depth 19 instance 90 was not split at previous depth; skipping
  Depth 19 instance 91 was not split at previous depth; skipping
  Depth 19 instance 92 was not split at previous depth; skipping
  Depth 19 instance 93 was not split at previous depth; skipping
  Depth 19 instance 94 was not split at previous depth; skipping
  Depth 19 instance 95 was determined to be UNSAT; skipping
  Depth 19 instance 96 was not split at previous depth; skipping
  Depth 19 instance 97 was not split at previous depth; skipping
  Depth 19 instance 98 was not split at previous depth; skipping
  Depth 19 instance 99 was determined to be UNSAT; skipping
  Depth 19 instance 100 was not split at previous depth; skipping
  Depth 19 instance 101 was not split at previous depth; skipping
  Depth 19 instance 102 was not split at previous depth; skipping
  Depth 19 instance 103 was not split at previous depth; skipping
  Depth 19 instance 104 was not split at previous depth; skipping
  Depth 19 instance 105 was not split at previous depth; skipping
  Depth 19 instance 106 was not split at previous depth; skipping
  Depth 19 instance 107 was not split at previous depth; skipping
  Depth 19 instance 108 was not split at previous depth; skipping
  Depth 19 instance 109 was not split at previous depth; skipping
  Depth 19 instance 112 was determined to be UNSAT; skipping
  Depth 19 instance 113 was determined to be UNSAT; skipping
  Depth 19 instance 114 was determined to be UNSAT; skipping
  Depth 19 instance 115 was determined to be UNSAT; skipping
  Depth 19 instance 116 was determined to be UNSAT; skipping
  Depth 19 instance 117 was not split at previous depth; skipping
  Depth 19 instance 118 was not split at previous depth; skipping
  Depth 19 instance 119 was not split at previous depth; skipping
  Depth 19 instance 120 was not split at previous depth; skipping
  Depth 19 instance 121 was not split at previous depth; skipping
  Depth 19 instance 122 was not split at previous depth; skipping
  Depth 19 instance 123 was not split at previous depth; skipping
  Depth 19 instance 124 was not split at previous depth; skipping
  Depth 19 instance 125 was not split at previous depth; skipping
  Depth 19 instance 126 was not split at previous depth; skipping
  Depth 19 instance 127 was not split at previous depth; skipping
  Depth 19 instance 128 was not split at previous depth; skipping
  Depth 19 instance 129 was not split at previous depth; skipping
  Depth 19 instance 130 was not split at previous depth; skipping
  Depth 19 instance 131 was not split at previous depth; skipping
  Depth 19 instance 132 was not split at previous depth; skipping
  Depth 19 instance 133 was not split at previous depth; skipping
  Depth 19 instance 134 was not split at previous depth; skipping
  Depth 19 instance 135 was not split at previous depth; skipping
  Depth 19 instance 136 was not split at previous depth; skipping
  Depth 19 instance 137 was not split at previous depth; skipping
  Depth 19 instance 138 was not split at previous depth; skipping
  Depth 19 instance 139 was not split at previous depth; skipping
  Depth 19 instance 140 was not split at previous depth; skipping
  Depth 19 instance 141 was not split at previous depth; skipping
  Depth 19 instance 142 was not split at previous depth; skipping
  Depth 19 instance 143 was not split at previous depth; skipping
  Depth 19 instance 144 was not split at previous depth; skipping
  Depth 19 instance 145 was not split at previous depth; skipping
  Depth 19 instance 146 was not split at previous depth; skipping
  Depth 19 instance 147 was not split at previous depth; skipping
  Depth 19 instance 148 was not split at previous depth; skipping
  Depth 19 instance 149 was not split at previous depth; skipping
  Depth 19 instance 150 was not split at previous depth; skipping
  Depth 19 instance 151 was not split at previous depth; skipping
  Depth 19 instance 152 was determined to be UNSAT; skipping
  Depth 19 instance 153 was determined to be UNSAT; skipping
  Depth 19 instance 154 was not split at previous depth; skipping
  Depth 19 instance 155 was not split at previous depth; skipping
  Depth 19 instance 156 was not split at previous depth; skipping
  Depth 19 instance 157 was not split at previous depth; skipping
  Depth 19 instance 158 was not split at previous depth; skipping
  Depth 19 instance 159 was not split at previous depth; skipping
  Depth 19 instance 160 was not split at previous depth; skipping
  Depth 19 instance 161 was not split at previous depth; skipping
  Depth 19 instance 162 was not split at previous depth; skipping
  Depth 19 instance 163 was not split at previous depth; skipping
  Depth 19 instance 164 was not split at previous depth; skipping
  Depth 19 instance 165 was not split at previous depth; skipping
  Depth 19 instance 166 was not split at previous depth; skipping
  Depth 19 instance 167 was not split at previous depth; skipping
  Depth 19 instance 168 was not split at previous depth; skipping
  Depth 19 instance 169 was not split at previous depth; skipping
  Depth 19 instance 170 was not split at previous depth; skipping
  Depth 19 instance 171 was not split at previous depth; skipping
  Depth 19 instance 172 was not split at previous depth; skipping
  Depth 19 instance 173 was not split at previous depth; skipping
  Depth 19 instance 174 was not split at previous depth; skipping
  Depth 19 instance 175 was determined to be UNSAT; skipping
  Depth 19 instance 176 was not split at previous depth; skipping
  Depth 19 instance 177 was not split at previous depth; skipping
  Depth 19 instance 178 was not split at previous depth; skipping
  Depth 19 instance 179 was not split at previous depth; skipping
  Depth 19 instance 180 was not split at previous depth; skipping
  Depth 19 instance 181 was not split at previous depth; skipping
  Depth 19 instance 182 was not split at previous depth; skipping
  Depth 19 instance 183 was not split at previous depth; skipping
  Depth 19 instance 184 was determined to be UNSAT; skipping
  Depth 19 instance 185 was not split at previous depth; skipping
  Depth 19 instance 186 was determined to be UNSAT; skipping
  Depth 19 instance 187 was not split at previous depth; skipping
  Depth 19 instance 188 was not split at previous depth; skipping
  Depth 19 instance 189 was not split at previous depth; skipping
  Depth 19 instance 190 was not split at previous depth; skipping
  Depth 19 instance 191 was determined to be UNSAT; skipping
  Depth 19 instance 192 was determined to be UNSAT; skipping
  Depth 19 instance 193 was not split at previous depth; skipping
  Depth 19 instance 194 was not split at previous depth; skipping
  Depth 19 instance 195 was not split at previous depth; skipping
  Depth 19 instance 196 was not split at previous depth; skipping
  Depth 19 instance 197 was not split at previous depth; skipping
  Depth 19 instance 198 was not split at previous depth; skipping
  Depth 19 instance 199 was not split at previous depth; skipping
  Depth 19 instance 200 was not split at previous depth; skipping
  Depth 19 instance 201 was not split at previous depth; skipping
  Depth 19 instance 202 was determined to be UNSAT; skipping
  Depth 19 instance 203 was not split at previous depth; skipping
  Depth 19 instance 204 was not split at previous depth; skipping
  Depth 19 instance 205 was not split at previous depth; skipping
  Depth 19 instance 206 was not split at previous depth; skipping
  Depth 19 instance 207 was not split at previous depth; skipping
  Depth 19 instance 208 was not split at previous depth; skipping
  Depth 19 instance 209 was not split at previous depth; skipping
  Depth 19 instance 210 was not split at previous depth; skipping
  Depth 19 instance 211 was determined to be UNSAT; skipping
  Depth 19 instance 212 was not split at previous depth; skipping
  Depth 19 instance 213 was determined to be UNSAT; skipping
  Depth 19 instance 214 was not split at previous depth; skipping
  Depth 19 instance 215 was not split at previous depth; skipping
  Depth 19 instance 216 was not split at previous depth; skipping
  Depth 19 instance 217 was not split at previous depth; skipping
  Depth 19 instance 218 was determined to be UNSAT; skipping
  Depth 19 instance 219 was not split at previous depth; skipping
  Depth 19 instance 220 was determined to be UNSAT; skipping
  Depth 19 instance 221 was not split at previous depth; skipping
  Depth 19 instance 222 was not split at previous depth; skipping
  Depth 19 instance 223 was determined to be UNSAT; skipping
  Depth 19 instance 224 was not split at previous depth; skipping
  Depth 19 instance 225 was not split at previous depth; skipping
  Depth 19 instance 226 was determined to be UNSAT; skipping
  Depth 19 instance 227 was not split at previous depth; skipping
  Depth 19 instance 228 was determined to be UNSAT; skipping
  Depth 19 instance 229 was not split at previous depth; skipping
  Depth 19 instance 230 was not split at previous depth; skipping
  Depth 19 instance 231 was determined to be UNSAT; skipping
  Depth 19 instance 232 was determined to be UNSAT; skipping
  Depth 19 instance 233 was determined to be UNSAT; skipping
  Depth 19 instance 234 was not split at previous depth; skipping
  Depth 19 instance 235 was not split at previous depth; skipping
  Depth 19 instance 236 was not split at previous depth; skipping
  Depth 19 instance 237 was not split at previous depth; skipping
  Depth 19 instance 240 was determined to be UNSAT; skipping
  Depth 19 instance 241 was not split at previous depth; skipping
  Depth 19 instance 242 was not split at previous depth; skipping
  Depth 19 instance 243 was not split at previous depth; skipping
  Depth 19 instance 244 was not split at previous depth; skipping
  Depth 19 instance 245 was determined to be UNSAT; skipping
  Depth 19 instance 246 was not split at previous depth; skipping
  Depth 19 instance 247 was not split at previous depth; skipping
  Depth 19 instance 248 was determined to be UNSAT; skipping
  Depth 19 instance 249 was not split at previous depth; skipping
  Depth 19 instance 250 was determined to be UNSAT; skipping
  Depth 19 instance 251 was determined to be UNSAT; skipping
  Depth 19 instance 252 was not split at previous depth; skipping
  Depth 19 instance 253 was not split at previous depth; skipping
  Depth 19 instance 254 was determined to be UNSAT; skipping
  Depth 19 instance 255 was not split at previous depth; skipping
  Depth 19 instance 256 was not split at previous depth; skipping
  Depth 19 instance 257 was not split at previous depth; skipping
  Depth 19 instance 258 was not split at previous depth; skipping
  Depth 19 instance 259 was not split at previous depth; skipping
  Depth 19 instance 260 was not split at previous depth; skipping
  Depth 19 instance 261 was not split at previous depth; skipping
  Depth 19 instance 262 was not split at previous depth; skipping
  Depth 19 instance 263 was not split at previous depth; skipping
  Depth 19 instance 264 was not split at previous depth; skipping
  Depth 19 instance 265 was not split at previous depth; skipping
  Depth 19 instance 266 was not split at previous depth; skipping
