============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          540563                                         |
|  Parse time:                   3.50 s                                       |
|  Simplification time:          0.07 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       105 |    4419   540568 54802322 |     2000      105     74 |        0 |        26         5 |
|       255 |    4419   540568 54802322 |     2000      255     87 |        0 |        44         5 |
|       516 |    4419   540604 54804265 |     2000      516    113 |        0 |        56        41 |
|       856 |    4419   540607 54804377 |     2000      856    127 |        0 |        56        44 |
|      1370 |    4419   540615 54804735 |     2000     1370    129 |        0 |        66        52 |
|      2444 |    4419   540930 54812081 |     3600     1444     61 |        0 |       189       367 |
|      3592 |    4419   540939 54812601 |     3600     2592     99 |        0 |       238       376 |
|      5463 |    4419   541102 54816550 |     5004     2667     66 |        0 |       308       539 |
|      8057 |    4419   541134 54817521 |     6303     2760     55 |        0 |       362       571 |
|     13277 |    4419   542510 54849354 |     7552     4829     50 |        0 |       647      1947 |
|     19171 |    4419   542638 54852694 |     8778     6949     83 |        0 |       725      2075 |
|     28423 |    4419   543241 54867754 |    11208     6831     54 |        0 |       885      2678 |
|     42104 |    4419   543948 54884885 |    13605     8709     68 |        0 |      1195      3385 |
|     63170 |    4419   545553 54922780 |    16007    15577     79 |        0 |      1586      4990 |
|     94038 |    4419   547229 54960186 |    20821    10859     46 |        0 |      2058      6666 |
|    138051 |    4419   547453 54967348 |    24419    21870     83 |        0 |      2260      6890 |
|    209782 |    4419   553500 55090691 |    30422    26604     71 |        0 |      4334     12937 |
|    326124 |    4419   571316 55463255 |    38816    23940     67 |        0 |      7150     30753 |
|    475201 |    4419   572604 55498440 |    47224    24625     58 |        1 |      7730     32040 |
|    699527 |    4419   575247 55569803 |    56823    43350     87 |        6 |      8816     34678 |
|   1036447 |    4419   579642 55692120 |    70012    34859     56 |        6 |     10198     39073 |
|   1679253 |    4419   723660 58634972 |    89214    45667     45 |       13 |     25191    183084 |
|   2482214 |    4419   778439 59814996 |   108419    63033     59 |       15 |     39689    237861 |
|   3717961 |    4419   891912 62148209 |   132420   100781     79 |       41 |     53585    351308 |
|   5854974 |    4419  1345514 70361146 |   166012   157386     91 |       80 |     82729    804871 |
|   9246987 |    4419  2212411 86662711 |   209222   183409     80 |      136 |    144870   1671712 |
|  13384519 |    4419  2562268 93001922 |   252425   177344     65 |      307 |    175376   2021398 |
|  20952382 |    4419  4448619 130332677 |   316030   229812     61 |      398 |    337934   3907658 |
