============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          605265                                         |
|  Parse time:                   3.91 s                                       |
|  Simplification time:          0.08 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       100 |    4380   605265 61497855 |     2000      100     80 |        0 |        27         0 |
|       263 |    4380   605278 61498132 |     2000      263    118 |        0 |        31        13 |
|       497 |    4380   605287 61498334 |     2000      497    105 |        0 |        40        22 |
|       837 |    4380   605290 61498407 |     2000      837    110 |        0 |        52        25 |
|      1346 |    4380   605293 61498592 |     2000     1346    105 |        0 |        64        28 |
|      2198 |    4380   605386 61500688 |     3600     1198     59 |        0 |       107       121 |
|      3462 |    4380   605511 61503480 |     3600     2462     72 |        0 |       133       246 |
|      5267 |    4380   605608 61505553 |     5000     2467     57 |        0 |       176       343 |
|      7876 |    4380   605655 61506989 |     6304     2580     48 |        0 |       199       390 |
|     12017 |    4380   605952 61513324 |     7557     3574     37 |        0 |       392       687 |
|     17807 |    4380   605976 61513928 |     8781     5588     51 |        0 |       497       711 |
|     26505 |    4380   606025 61515603 |     9992     9897     76 |        0 |       571       760 |
|     39722 |    4380   606268 61522411 |    13606     6328     30 |        0 |       672      1003 |
|     59446 |    4380   606531 61529652 |    16011    11857     55 |        0 |       897      1266 |
|     89817 |    4380   607710 61554454 |    19617    16434     58 |        0 |      1242      2445 |
|    133929 |    4380   608033 61562532 |    24413    17742     58 |        0 |      1483      2768 |
|    199909 |    4380   608329 61571396 |    30411    16720     45 |        0 |      1857      3064 |
|    299318 |    4380   609212 61591317 |    36410    34128     85 |        0 |      2234      3947 |
|    447381 |    4380   609486 61598858 |    44825    42206     79 |        0 |      2560      4221 |
|    669870 |    4380   610292 61623662 |    55614    41484     75 |        0 |      3190      5027 |
|   1003809 |    4380   611706 61662830 |    68844    36653     57 |        0 |      3749      6441 |
|   1507227 |    4380   616336 61779582 |    84421    46048     55 |        0 |      5119     11071 |
|   2258321 |    4380   619248 61869273 |   102435   101156     91 |        0 |      6491     13983 |
|   3385701 |    4380   624354 62008873 |   126425    90526     65 |        0 |      9150     19089 |
|   5075573 |    4380   630815 62194085 |   155227    98000     56 |        0 |     12022     25550 |
|   7630071 |    4380   660197 62912458 |   190023   158494     71 |        0 |     22898     54932 |
|  11476247 |    4380   718698 64390262 |   233222   206669     75 |        0 |     39232    113433 |
|  17284785 |    4380   845724 67352169 |   287225   174210     45 |        1 |     66738    240458 |
|  25887961 |    4380   926631 69450377 |   350825   339786     75 |        1 |     93557    321365 |
|  38750241 |    4380  1005508 71645472 |   430037   338678     65 |        1 |    115428    400242 |
|  58032235 |    4380  1112397 74242121 |   526040   524675     83 |        4 |    143216    507128 |
|  86990720 |    4380  1308224 79329398 |   644822   535542     68 |        4 |    194060    702955 |
