============================[ Problem Statistics ]=============================
|                                                                             |
|  Number of variables:          6160                                         |
|  Number of clauses:          687230                                         |
|  Parse time:                   4.31 s                                       |
|  Simplification time:          0.08 s                                       |
|                                                                             |
============================[ Search Statistics ]====================================================
| Conflicts |          ORIGINAL         |          LEARNT          | Num Sols |      SUBGRAPHS      |
|           |    Vars  Clauses Literals |    Limit  Clauses Lit/Cl |          | Canonical Noncanon. |
=====================================================================================================
|       115 |    4382   687245 69381503 |     2000      115     67 |        0 |        23        15 |
|       276 |    4382   687256 69381813 |     2000      276     87 |        0 |        35        26 |
|       501 |    4382   687256 69381813 |     2000      501     91 |        0 |        50        26 |
|       857 |    4382   687275 69382994 |     2000      857    112 |        0 |        56        45 |
|      1397 |    4382   687309 69383839 |     2000     1397    122 |        0 |        67        79 |
|      2670 |    4382   687823 69395185 |     3600     1670     45 |        0 |       187       593 |
|      3833 |    4382   687847 69395811 |     3600     2833     70 |        0 |       230       617 |
|      5597 |    4382   687903 69396820 |     5008     2805     52 |        0 |       308       673 |
|      8715 |    4382   688459 69413937 |     6311     3426     49 |        0 |       390      1229 |
|     12841 |    4382   688741 69420814 |     7557     4398     47 |        0 |       494      1511 |
|     18674 |    4382   688808 69423070 |     8783     6457     71 |        0 |       625      1578 |
|     27752 |    4382   689237 69433444 |    11212     6164     38 |        0 |       936      2007 |
|     41951 |    4382   690462 69458112 |    13615     8566     37 |        0 |      1142      3232 |
|     62194 |    4382   691244 69475779 |    16012    14606     63 |        0 |      1501      4014 |
|     91973 |    4382   691831 69489702 |    19615    18588     68 |        0 |      1856      4601 |
|    138250 |    4382   694319 69547128 |    24410    22060     66 |        0 |      2411      7089 |
|    206156 |    4382   696541 69586046 |    30404    22960     65 |        0 |      2740      9311 |
|    307732 |    4382   699591 69647659 |    37616    24348     58 |        0 |      3932     12361 |
|    457799 |    4382   701869 69711349 |    46024    30223     63 |        0 |      5088     14639 |
|    683347 |    4382   705734 69824813 |    55618    54965     91 |        0 |      7007     18504 |
|   1018190 |    4382   708052 69891148 |    68808    50998     81 |        0 |      8954     20822 |
|   1520609 |    4382   711683 70001232 |    84411    59420     72 |        0 |     12588     24453 |
|   2283345 |    4382   726237 70397579 |   103613    74958     64 |        0 |     19429     39007 |
|   3432866 |    4382   753484 71094822 |   127640    74506     51 |        0 |     26489     66254 |
|   5129458 |    4382   766665 71541121 |   155233   151891     86 |        0 |     30790     79435 |
|   7678606 |    4382   790697 72295157 |   191229   112035     49 |        0 |     40697    103467 |
|  11513646 |    4382   838062 73556799 |   234424   127470     42 |        0 |     55141    150832 |
|  17270661 |    4382   913565 75612863 |   287237   160098     42 |        1 |     80384    226334 |
|  25983197 |    4382  1103832 80610771 |   352020   259617     58 |        8 |    107193    416594 |
|  39131559 |    4382  1468791 89473538 |   432442   289401     53 |        8 |    152104    781553 |
|  58579744 |    4382  1741871 96133007 |   529624   281368     31 |        8 |    193495   1054633 |
